,kanji,kana,definition
635,形,かたち,"shape,  appearance,  form"
636,理由,りゆう,reason
637,何時,なんじ,what time
638,弱点,じゃくてん,"weak point,  weakness"
639,手紙,てがみ,letter
640,同時,どうじ,same time
641,強い,つよい,strong
642,強力,きょうりょく,"strength,  strong,  powerful"
643,教室,きょうしつ,classroom
644,風船,ふうせん,balloon
645,黄色,きいろ,"yellow,  yellow colour,  yellow color,  colour yellow,  color yellow"
646,黒人,こくじん,"black person,  black people"
647,風,かぜ,wind
648,小学生,しょうがくせい,"elementary school student,  primary school student,  elementary schooler,  primary schooler,  grade schooler,  grade school student"
649,作り方,つくりかた,"how to make,  way to make,  way of making"
651,地中海,ちちゅうかい,mediterranean sea
652,水道,すいどう,"water supply,  water service,  waterworks,  aqueduct,  conduit,  water line"
653,楽,らく,"comfort,  ease,  pleasure"
654,朝日,あさひ,"morning sun,  rising sun"
655,近づく,ちかづく,"to get close,  to approach,  to draw near,  to near,  to bring near"
656,医者,いしゃ,doctor
657,決,けつ,decision
658,自決,じけつ,"suicide,  self determination"
659,支える,ささえる,to support
660,身体,しんたい,"the body,  health,  body"
661,絵,え,"painting,  drawing,  picture"
662,数字,すうじ,"numeral,  digit"
663,安売り,やすうり,"sell cheaply,  discount,  bargain sale,  sale"
664,交わる,まじわる,"to intersect,  to cross,  to mingle"
665,回す,まわす,"to turn,  to rotate,  to turn something,  to rotate something,  to spin"
666,前回,ぜんかい,last time
667,毎朝,まいあさ,every morning
668,役場,やくば,"town hall,  town office,  public office"
669,電気,でんき,"electricity,  light"
